"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Nov 05 16:28:02 GMT 2023","Sun Nov 05 16:28:02 GMT 2023","76","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","xlsParseTest","xlsParseTest()",""
"passed","Sun Nov 05 16:27:51 GMT 2023","Sun Nov 05 16:27:51 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test4","test4()",""
"passed","Sun Nov 05 16:26:28 GMT 2023","Sun Nov 05 16:26:30 GMT 2023","2384","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"failed","Sun Nov 05 16:28:17 GMT 2023","Sun Nov 05 16:28:23 GMT 2023","6495","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadImages","uploadImages()",""
"passed","Sun Nov 05 16:28:45 GMT 2023","Sun Nov 05 16:28:48 GMT 2023","3409","","pageObject.TestFormPageAllure","","pageObject.TestFormPageAllure","testForm","Заполнение формы регистрации",""
"passed","Sun Nov 05 16:27:51 GMT 2023","Sun Nov 05 16:27:51 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test3","test3()",""
"failed","Sun Nov 05 16:28:23 GMT 2023","Sun Nov 05 16:28:28 GMT 2023","5018","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadText","uploadText()",""
"passed","Sun Nov 05 16:27:51 GMT 2023","Sun Nov 05 16:27:51 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test2","test2()",""
"passed","Sun Nov 05 16:27:28 GMT 2023","Sun Nov 05 16:27:29 GMT 2023","1650","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: gfhvqkh656!TT| and name of |User: ruffolo|",""
"passed","Sun Nov 05 16:27:55 GMT 2023","Sun Nov 05 16:27:56 GMT 2023","1394","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","downloadCucumberFile","downloadCucumberFile()",""
"passed","Sun Nov 05 16:28:48 GMT 2023","Sun Nov 05 16:28:51 GMT 2023","2900","","testFormQa.testForm","","testFormQa.testForm","testForm3Faker","testForm3Faker()",""
