"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"skipped","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test2","test2()",""
"passed","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","12","","jenkins.PositiveTest","","jenkins.PositiveTest","test5","test5()",""
"skipped","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test5","test5()",""
"passed","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test3","test3()",""
"passed","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test2","test2()",""
"failed","Sun Nov 05 11:25:40 GMT+04:00 2023","Sun Nov 05 11:25:40 GMT+04:00 2023","191","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"passed","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","2","","jenkins.PositiveTest","","jenkins.PositiveTest","test4","test4()",""
"failed","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","3","","jenkins.NegativeTest","","jenkins.NegativeTest","test2","test2()",""
"skipped","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
"failed","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","2","","jenkins.NegativeTest","","jenkins.NegativeTest","test5","test5()",""
"skipped","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test3","test3()",""
"skipped","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test4","test4()",""
"failed","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","4","","jenkins.NegativeTest","","jenkins.NegativeTest","test3","test3()",""
"failed","Sun Nov 05 11:25:41 GMT+04:00 2023","Sun Nov 05 11:25:41 GMT+04:00 2023","2","","jenkins.NegativeTest","","jenkins.NegativeTest","test4","test4()",""
